point_id,latitude,longitude,transaction_volume,user_id
1,38.40433174,27.18822479,350,1
2,38.46139429,27.15877437,349,2
3,38.41554736,27.17343584,336,3
4,38.42610326,27.12312466,466,4
5,38.39664256,27.13416370,445,5
6,38.44719018,27.10539402,346,6
7,38.45731201,27.17820198,411,7
8,38.40432069,27.16370905,166,8
9,38.40313536,27.17686468,353,9
10,38.46977572,27.13174007,280,10
11,38.40190794,27.11960218,384,11
12,38.41468847,27.15034228,341,12
13,38.43479268,27.18420055,432,13
14,38.45118200,27.10072209,378,14
15,38.42987893,27.14032229,363,15
16,38.41700377,27.15158905,427,16
17,38.41786916,27.12985499,440,17
18,38.38769931,27.13643657,282,18
19,38.38794956,27.14175986,98,19
20,38.40160058,27.14619133,109,20
21,38.44628550,27.13649976,167,21
22,38.43712473,27.13600340,427,22
23,38.43165665,27.15534320,347,23
24,38.44375717,27.13520097,195,24
25,38.44632080,27.18463863,379,25
26,38.42090666,27.11430409,486,26
27,38.43684104,27.15501930,232,27
28,38.38465964,27.13092727,225,28
29,38.42286037,27.13101529,98,29
30,38.43219582,27.16047924,387,30
31,38.43291893,27.16913264,448,31
32,38.44022161,27.15344378,406,32
33,38.45383042,27.15746953,257,33
34,38.43710706,27.12290154,224,34
35,38.43401185,27.12945984,467,35
36,38.45463605,27.17160129,453,36
37,38.40904675,27.12509966,242,37
38,38.38630154,27.11687232,426,38
39,38.39720003,27.13898729,195,39
40,38.41708962,27.16248515,496,40
41,38.39469106,27.12462051,235,41
42,38.41092840,27.14096471,368,42
43,38.44703170,27.12119839,376,43
44,38.45906898,27.14895018,165,44
45,38.42599119,27.14010037,182,45
46,38.42131900,27.16798887,168,46
47,38.43334801,27.13836953,134,47
48,38.40247209,27.12910362,163,48
49,38.41199568,27.11593521,277,49
50,38.42902137,27.14462884,333,50
51,38.40990739,27.12890544,88,51
52,38.41216663,27.16310933,74,52
53,38.44492223,27.14450513,37,53
54,38.41828740,27.14817279,132,54
55,38.38668187,27.13019426,297,55
56,38.41101994,27.14533810,56,56
57,38.41582447,27.12954558,44,57
58,38.41995557,27.15597664,222,58
59,38.39894328,27.14140659,356,59
60,38.42992597,27.12995320,313,60
61,38.42820143,27.14104118,368,61
62,38.43335512,27.15036331,160,62
63,38.40874474,27.11310191,400,63
64,38.43592510,27.11265942,200,64
65,38.40107098,27.16256342,344,65
66,38.42638662,27.13743367,289,66
67,38.43495831,27.16886680,349,67
68,38.43995958,27.11474139,258,68
69,38.45416369,27.12583293,466,69
70,38.41568090,27.10062406,213,70
71,38.41186631,27.13416585,452,71
72,38.45382277,27.13253091,243,72
73,38.41685887,27.13593648,66,73
74,38.39213793,27.14668566,74,74
75,38.42927227,27.13030294,266,75
76,38.42269249,27.15329130,151,76
77,38.39452355,27.15746372,389,77
78,38.41503533,27.13059101,470,78
79,38.40762572,27.13685762,375,79
80,38.41187957,27.11567275,51,80
81,38.44314025,27.12844090,55,81
82,38.42153308,27.11601009,313,82
83,38.45392072,27.12765101,223,83
84,38.41917971,27.14069559,67,84
85,38.47289242,27.13902442,494,85
86,38.41677545,27.13934925,37,86
87,38.42994336,27.16644165,473,87
88,38.39477854,27.10687180,143,88
89,38.41612565,27.16095928,330,89
90,38.45301386,27.09689455,498,90
91,38.43302821,27.14799505,221,91
92,38.40623001,27.16506827,80,92
93,38.41892150,27.12551609,453,93
94,38.41601627,27.16019119,231,94
95,38.45237251,27.12125547,174,95
96,38.38576248,27.12597275,248,96
97,38.41791094,27.14737898,500,97
98,38.39790232,27.16527890,229,98
99,38.37343572,27.11128967,310,99
100,38.41769050,27.13671160,74,100
101,38.43875857,27.13895429,475,101
102,38.38134347,27.15673835,321,102
103,38.40598555,27.14967930,51,103
104,38.42717578,27.14087460,377,104
105,38.41949185,27.15656353,92,105
106,38.42154187,27.14294660,61,106
107,38.44296553,27.15909893,444,107
108,38.42418642,27.11839407,276,108
109,38.43700520,27.14408374,449,109
110,38.42098957,27.12863945,166,110
111,38.41403788,27.14226913,26,111
112,38.42689047,27.13744122,90,112
113,38.41002797,27.15062685,454,113
114,38.41111907,27.13594851,273,114
115,38.42521914,27.13452869,335,115
116,38.41025031,27.15351842,482,116
117,38.44615451,27.13883868,469,117
118,38.42274745,27.18771147,122,118
119,38.42921952,27.14462403,238,119
120,38.44418235,27.17413899,72,120
121,38.42142145,27.12702756,38,121
122,38.40858123,27.08778242,83,122
123,38.45981488,27.16394394,411,123
124,38.39748491,27.14961423,432,124
125,38.41548220,27.12443442,70,125
126,38.40123564,27.14127981,379,126
127,38.37327754,27.15977568,148,127
128,38.43721326,27.16038321,376,128
129,38.43815608,27.13697715,216,129
130,38.42247827,27.12199809,19,130
131,38.44142951,27.11435924,243,131
132,38.41831485,27.16435169,215,132
133,38.40336583,27.15127013,268,133
134,38.41191123,27.14730865,150,134
135,38.45656883,27.12911912,113,135
136,38.40621615,27.13524393,486,136
137,38.39952710,27.16122823,445,137
138,38.44503466,27.14687331,368,138
139,38.43646983,27.12980219,361,139
140,38.40927651,27.13572854,475,140
141,38.41354727,27.14893751,43,141
142,38.39615303,27.17468365,96,142
143,38.44361699,27.14806595,74,143
144,38.44919202,27.17056083,459,144
145,38.40173968,27.16269716,142,145
146,38.42012209,27.13139519,57,146
147,38.42095326,27.11740856,407,147
148,38.42945800,27.15213594,222,148
149,38.42502627,27.12539680,73,149
150,38.40352682,27.14276152,393,150
151,38.43495941,27.12766507,350,151
152,38.43389342,27.14120857,221,152
153,38.38633019,27.15280302,109,153
154,38.40392447,27.13566181,477,154
155,38.40031798,27.10785438,27,155
156,38.37388981,27.14003098,198,156
157,38.44431923,27.13342145,339,157
158,38.39720038,27.10128453,208,158
159,38.41724410,27.14359009,269,159
160,38.39420831,27.13753143,342,160
161,38.43039425,27.10927860,277,161
162,38.39589987,27.14897726,494,162
163,38.40329453,27.12892927,481,163
164,38.45526726,27.14087998,436,164
165,38.41358778,27.14231838,77,165
166,38.45625405,27.14290766,86,166
167,38.41622943,27.12685477,72,167
168,38.41467032,27.14754343,455,168
169,38.42058971,27.16196413,89,169
170,38.40853896,27.18816296,41,170
171,38.39799485,27.10580133,434,171
172,38.41705757,27.14198990,56,172
173,38.44834076,27.12160559,283,173
174,38.43430882,27.11025003,24,174
175,38.43248080,27.14564549,324,175
176,38.42392386,27.11255171,393,176
177,38.44325109,27.12920916,388,177
178,38.42396320,27.14072331,379,178
179,38.41297580,27.12081309,338,179
180,38.42529466,27.12153533,406,180
181,38.43743943,27.15826639,376,181
182,38.44967373,27.14382006,480,182
183,38.41210701,27.12912862,500,183
184,38.42154423,27.12511129,338,184
185,38.39899082,27.17015620,47,185
186,38.46333578,27.15146938,112,186
187,38.42106043,27.15501223,484,187
188,38.41295978,27.18407461,313,188
189,38.41068900,27.11526842,48,189
190,38.39847407,27.14756147,487,190
191,38.42492627,27.17138690,280,191
192,38.43184334,27.11216023,172,192
193,38.41392110,27.18120093,266,193
194,38.43707091,27.14314191,403,194
195,38.41761068,27.10646024,343,195
196,38.40579864,27.17509712,18,196
197,38.42474187,27.15705114,369,197
198,38.40457555,27.17594329,279,198
199,38.45386307,27.12322104,189,199
200,38.43994189,27.12863419,61,200
201,38.38971437,27.11797567,205,201
202,38.41481351,27.14415668,379,202
203,38.41412784,27.14454870,332,203
204,38.43661136,27.13554068,248,204
205,38.41043900,27.12115781,103,205
206,38.42395701,27.11931620,67,206
207,38.41421632,27.13968626,46,207
208,38.41476229,27.16655011,231,208
209,38.42053769,27.15287613,167,209
210,38.41105171,27.12233059,135,210
211,38.44193895,27.15032937,124,211
212,38.40721832,27.15519654,30,212
213,38.40794071,27.15190280,72,213
214,38.43882588,27.13003042,26,214
215,38.43240024,27.15805900,13,215
216,38.46408639,27.11707300,263,216
217,38.40625757,27.17608468,34,217
218,38.41293295,27.11854551,23,218
219,38.39082734,27.16646589,380,219
220,38.39417269,27.14796440,119,220
221,38.45537772,27.13209030,445,221
222,38.39554337,27.14889872,370,222
223,38.40717271,27.13540227,214,223
224,38.40194334,27.16011126,31,224
225,38.41541865,27.15288052,63,225
226,38.43389587,27.13564034,264,226
227,38.39156524,27.10921114,81,227
228,38.40794272,27.13574228,475,228
229,38.41447939,27.16821707,112,229
230,38.44491673,27.17100722,253,230
231,38.40824637,27.10198893,294,231
232,38.40817540,27.15602274,123,232
233,38.42070306,27.09362900,214,233
234,38.39225218,27.13639604,200,234
235,38.38125131,27.12430211,247,235
236,38.43565655,27.16956292,318,236
237,38.43356762,27.16966678,40,237
238,38.40551258,27.10441761,436,238
239,38.42837698,27.16451431,87,239
240,38.43680547,27.17922892,82,240
241,38.43691440,27.18917342,101,241
242,38.44772783,27.16581408,406,242
243,38.45914237,27.11679685,357,243
244,38.42356882,27.15025323,395,244
245,38.42133090,27.17205044,454,245
246,38.38276623,27.14138669,60,246
247,38.42731520,27.13603355,43,247
248,38.48191357,27.13200521,247,248
249,38.42205749,27.15274049,486,249
250,38.42523461,27.13999085,239,250
251,38.38035637,27.12826825,99,251
252,38.44307005,27.12760913,386,252
253,38.40554697,27.13036992,128,253
254,38.42535301,27.17400695,210,254
255,38.42928670,27.12970114,148,255
256,38.42525029,27.16796486,451,256
257,38.39312937,27.16320746,334,257
258,38.41941429,27.14360985,230,258
259,38.42993600,27.14111882,14,259
260,38.39661322,27.12968999,169,260
261,38.42834394,27.12689036,78,261
262,38.40983140,27.13739435,43,262
263,38.39800223,27.13639464,191,263
264,38.42113661,27.13297474,48,264
265,38.44729489,27.11570647,468,265
266,38.44059553,27.13769876,263,266
267,38.41323290,27.12395436,93,267
268,38.39982145,27.18327065,340,268
269,38.36604839,27.12109950,405,269
270,38.38463555,27.17403305,266,270
271,38.41231434,27.13489126,290,271
272,38.42432114,27.16352876,88,272
273,38.44984517,27.15692457,122,273
274,38.44519525,27.15284922,500,274
