candidate_id,location_name,latitude,longitude,setup_cost
1,Aday_Lokasyon_1,38.46024107,27.13994643,32305.68
2,Aday_Lokasyon_2,38.40063699,27.20682539,17106.68
3,Aday_Lokasyon_3,38.49583452,27.07760562,34912.60
4,Aday_Lokasyon_4,38.43983276,27.23305708,31916.93
5,Aday_Lokasyon_5,38.32840136,27.13751538,15725.48
6,Aday_Lokasyon_6,38.43459517,27.11635838,16690.16
7,Aday_Lokasyon_7,38.45912971,27.09494683,25599.73
8,Aday_Lokasyon_8,38.44443597,27.15546264,19291.51
9,Aday_Lokasyon_9,38.46803978,27.09639552,32154.48
10,Aday_Lokasyon_10,38.36813263,27.19285741,15931.56
11,Aday_Lokasyon_11,38.30032368,27.09246425,24854.22
12,Aday_Lokasyon_12,38.45612154,27.11710348,33275.65
13,Aday_Lokasyon_13,38.49820295,27.05538210,23271.08
14,Aday_Lokasyon_14,38.43416650,27.14326334,31157.34
15,Aday_Lokasyon_15,38.36086459,27.16258861,26957.00
16,Aday_Lokasyon_16,38.34620247,27.11081110,32790.11
17,Aday_Lokasyon_17,38.30249080,27.13078347,28013.39
18,Aday_Lokasyon_18,38.44823612,27.14893097,29522.43
19,Aday_Lokasyon_19,38.41271048,27.21779364,18767.77
20,Aday_Lokasyon_20,38.49240329,27.15822096,22378.89
21,Aday_Lokasyon_21,38.42961876,27.10548740,34383.04
22,Aday_Lokasyon_22,38.46631078,27.08131300,33490.15
23,Aday_Lokasyon_23,38.40872768,27.23800523,31241.21
24,Aday_Lokasyon_24,38.32268051,27.15405275,18669.08
25,Aday_Lokasyon_25,38.32273038,27.15903447,27524.29
26,Aday_Lokasyon_26,38.47491476,27.15897748,15579.88
27,Aday_Lokasyon_27,38.32448249,27.10996678,19187.34
28,Aday_Lokasyon_28,38.39528885,27.24745680,28388.44
29,Aday_Lokasyon_29,38.41023809,27.18203784,26155.53
30,Aday_Lokasyon_30,38.43848033,27.09312102,28141.61
31,Aday_Lokasyon_31,38.36426969,27.17234656,15105.87
32,Aday_Lokasyon_32,38.33779586,27.24862865,17324.82
33,Aday_Lokasyon_33,38.42496125,27.15364938,19939.51
34,Aday_Lokasyon_34,38.48349415,27.20113952,20508.57
35,Aday_Lokasyon_35,38.43947092,27.23848042,25259.46
36,Aday_Lokasyon_36,38.33763763,27.10006084,25790.50
37,Aday_Lokasyon_37,38.37952812,27.22731766,19992.91
38,Aday_Lokasyon_38,38.36354954,27.17803454,31356.62
39,Aday_Lokasyon_39,38.31184274,27.20597462,15032.86
40,Aday_Lokasyon_40,38.39167144,27.11246466,16818.24
41,Aday_Lokasyon_41,38.37787241,27.07576779,31329.02
42,Aday_Lokasyon_42,38.30405795,27.09362175,31762.14
43,Aday_Lokasyon_43,38.30835405,27.23445203,25612.68
44,Aday_Lokasyon_44,38.46366434,27.17412188,22949.22
45,Aday_Lokasyon_45,38.46858342,27.21583395,18910.38
46,Aday_Lokasyon_46,38.41667916,27.15243082,19575.20
47,Aday_Lokasyon_47,38.48655910,27.14527737,24593.83
48,Aday_Lokasyon_48,38.36836610,27.13364548,22091.83
49,Aday_Lokasyon_49,38.35277233,27.06705401,28044.24
50,Aday_Lokasyon_50,38.30161573,27.09920522,28820.40
51,Aday_Lokasyon_51,38.40084464,27.20096880,28980.98
52,Aday_Lokasyon_52,38.34436809,27.12991341,17261.03
53,Aday_Lokasyon_53,38.30945947,27.07609802,24245.38
54,Aday_Lokasyon_54,38.44002793,27.08613365,25206.40
55,Aday_Lokasyon_55,38.44402462,27.19623618,18020.73
56,Aday_Lokasyon_56,38.37691534,27.12918727,18496.96
57,Aday_Lokasyon_57,38.47194895,27.19450608,27313.71
58,Aday_Lokasyon_58,38.44915534,27.09654097,32433.36
59,Aday_Lokasyon_59,38.49794633,27.23094662,17849.78
60,Aday_Lokasyon_60,38.33800719,27.06566447,15829.48
61,Aday_Lokasyon_61,38.44344596,27.18089156,20782.80
62,Aday_Lokasyon_62,38.31563527,27.11838020,25369.17
63,Aday_Lokasyon_63,38.49372531,27.13241038,18887.68
64,Aday_Lokasyon_64,38.30140367,27.10351856,24499.18
65,Aday_Lokasyon_65,38.47880378,27.19108017,28316.89
66,Aday_Lokasyon_66,38.43142962,27.05033285,27869.83
67,Aday_Lokasyon_67,38.34322932,27.23236872,17702.20
68,Aday_Lokasyon_68,38.44361780,27.11246705,26780.80
69,Aday_Lokasyon_69,38.31630104,27.19718689,20751.66
70,Aday_Lokasyon_70,38.49124819,27.12659022,22289.72
71,Aday_Lokasyon_71,38.31967820,27.11117365,23602.23
72,Aday_Lokasyon_72,38.32943003,27.20801422,26551.64
73,Aday_Lokasyon_73,38.39103981,27.14671592,30497.18
74,Aday_Lokasyon_74,38.37585713,27.18627932,17372.23
75,Aday_Lokasyon_75,38.44899927,27.21396638,29453.25
76,Aday_Lokasyon_76,38.46879528,27.19802844,17709.73
77,Aday_Lokasyon_77,38.49351202,27.09945156,31172.26
78,Aday_Lokasyon_78,38.34964950,27.13496385,29660.70
79,Aday_Lokasyon_79,38.45944954,27.09260905,23266.71
80,Aday_Lokasyon_80,38.46970532,27.24640941,20664.09
81,Aday_Lokasyon_81,38.45791916,27.21862909,31851.33
82,Aday_Lokasyon_82,38.42608717,27.24481408,21724.13
83,Aday_Lokasyon_83,38.37616678,27.10703519,19511.41
84,Aday_Lokasyon_84,38.48154262,27.12429870,30861.03
85,Aday_Lokasyon_85,38.38310052,27.23418642,24419.70
86,Aday_Lokasyon_86,38.47586973,27.08227774,26018.72
87,Aday_Lokasyon_87,38.34813976,27.17050343,17969.51
88,Aday_Lokasyon_88,38.32117979,27.06027440,20559.26
89,Aday_Lokasyon_89,38.43140798,27.16507197,31571.70
90,Aday_Lokasyon_90,38.33664598,27.12837485,26862.95
91,Aday_Lokasyon_91,38.40511742,27.13603672,24223.37
92,Aday_Lokasyon_92,38.43428835,27.15080917,15180.69
93,Aday_Lokasyon_93,38.46826337,27.12594844,16499.19
94,Aday_Lokasyon_94,38.44236723,27.17431326,34515.83
95,Aday_Lokasyon_95,38.46854011,27.16344310,26675.01
96,Aday_Lokasyon_96,38.42600494,27.14095827,15272.93
97,Aday_Lokasyon_97,38.40652497,27.21168272,34328.73
98,Aday_Lokasyon_98,38.38263312,27.20849514,33179.59
99,Aday_Lokasyon_99,38.35635436,27.18384057,17330.12
100,Aday_Lokasyon_100,38.42907843,27.23391567,28005.48
101,Aday_Lokasyon_101,38.31306846,27.17097276,33284.69
102,Aday_Lokasyon_102,38.43143360,27.19483590,18379.12
103,Aday_Lokasyon_103,38.33035099,27.06140191,29417.92
104,Aday_Lokasyon_104,38.35026165,27.14334529,23693.80
105,Aday_Lokasyon_105,38.38771182,27.13982388,16252.83
106,Aday_Lokasyon_106,38.38470912,27.09894947,15464.61
107,Aday_Lokasyon_107,38.41255153,27.07208497,23224.96
108,Aday_Lokasyon_108,38.30059383,27.15964158,15468.89
109,Aday_Lokasyon_109,38.42774024,27.13463274,27891.57
110,Aday_Lokasyon_110,38.47861561,27.17812056,26563.91
111,Aday_Lokasyon_111,38.37283019,27.18427398,19304.82
112,Aday_Lokasyon_112,38.49453455,27.09152133,29249.34
113,Aday_Lokasyon_113,38.37719276,27.06978596,29329.40
114,Aday_Lokasyon_114,38.35352857,27.18853331,30695.96
115,Aday_Lokasyon_115,38.43962927,27.11038639,19446.47
116,Aday_Lokasyon_116,38.41614791,27.06307330,18359.13
117,Aday_Lokasyon_117,38.43362425,27.12923668,22231.28
118,Aday_Lokasyon_118,38.42441575,27.23967398,32618.96
119,Aday_Lokasyon_119,38.40077635,27.13256331,34708.76
120,Aday_Lokasyon_120,38.44996660,27.19938231,28106.10
